Proteome 01, 0, 4
Proteome 02, 0, 2
Proteome 03, 1, 3
Proteome 04, 0, 4
Proteome 05, 1, 2
Proteome 06, 0, 0
Proteome 07, 1, 2
Proteome 08, 0, 5
Proteome 09, 0, 2
Proteome 10, 0, 3
Proteome 11, 0, 6
Proteome 12, 0, 6
Proteome 13, 0, 3
Proteome 14, 0, 1
Proteome 15, 1, 1
Proteome 16, 1, 1
Proteome 17, 0, 3
Proteome 18, 0, 8
Proteome 19, 2, 1
Proteome 20, 0, 3
Proteome 21, 0, 5
Proteome 22, 0, 8
Proteome 23, 2, 2
Proteome 24, 1, 2
Proteome 25, 0, 5
Proteome 26, 0, 1
Proteome 27, 0, 1
Proteome 28, 0, 1
Proteome 29, 1, 1
Proteome 30, 0, 1
Proteome 31, 0, 7
Proteome 32, 0, 4
Proteome 33, 0, 0
Proteome 34, 0, 1
Proteome 35, 0, 1
Proteome 36, 0, 3
Proteome 37, 0, 2
Proteome 38, 1, 1
Proteome 39, 1, 1
Proteome 40, 0, 2
Proteome 41, 0, 2
Proteome 42, 1, 3
Proteome 43, 0, 3
Proteome 44, 1, 1
Proteome 45, 1, 3
Proteome 46, 0, 2
Proteome 47, 0, 2
Proteome 48, 1, 1
Proteome 49, 0, 3
Proteome 50, 1, 3
